Time, X, Y, Z
1.35,0.069587,1.248694,0.372907
1.358333,0.070421,1.248585,0.372954
1.366667,0.071333,1.248431,0.373
1.375,0.072224,1.248266,0.373053
1.383333,0.073101,1.248096,0.373072
1.391667,0.074077,1.247922,0.373092
1.4,0.074982,1.247746,0.373078
1.408333,0.075841,1.247575,0.373007
1.416667,0.076719,1.2474,0.37295
1.425,0.077554,1.247275,0.372893
1.433333,0.078315,1.247137,0.372845
1.441667,0.079042,1.246998,0.37279
1.45,0.079702,1.246903,0.372661
1.458333,0.080288,1.246842,0.372467
1.466667,0.080826,1.24675,0.372292
1.475,0.081325,1.246623,0.372144
1.483333,0.081778,1.246476,0.371981
1.491667,0.082212,1.246334,0.371776
1.5,0.082582,1.246222,0.371474
1.508333,0.082921,1.246124,0.371154
1.516667,0.083223,1.246038,0.370822
1.525,0.083492,1.245958,0.37051
1.533333,0.083736,1.245893,0.370158
1.541667,0.083911,1.245823,0.369757
1.55,0.084052,1.245799,0.369349
1.558333,0.084148,1.24583,0.368855
1.566667,0.08422,1.245857,0.368398
1.575,0.084217,1.245902,0.367916
1.583333,0.084165,1.245929,0.367406
1.591667,0.08403,1.246011,0.36679
1.6,0.083789,1.246156,0.3661
1.608333,0.083485,1.246321,0.36544
1.616667,0.083119,1.246445,0.364822
1.625,0.08261,1.246612,0.364071
1.633333,0.082044,1.246762,0.363293
1.641667,0.081431,1.246922,0.362456
1.65,0.080676,1.247064,0.361557
1.658333,0.079911,1.247165,0.360658
1.666667,0.079047,1.247294,0.35962
1.675,0.078099,1.24739,0.358668
1.683333,0.07703,1.247488,0.357701
1.691667,0.075895,1.247691,0.356769
1.7,0.074557,1.247941,0.355899
1.708333,0.073185,1.248223,0.355099
1.716667,0.071688,1.248537,0.354324
1.725,0.070068,1.248863,0.353588
1.733333,0.068429,1.249197,0.352965
1.741667,0.066752,1.249528,0.352287
1.75,0.065079,1.249846,0.351648
1.758333,0.063356,1.250133,0.351036
1.766667,0.061641,1.250405,0.35042
1.775,0.05989,1.250592,0.349906
1.783333,0.058177,1.250736,0.349371
1.791667,0.056469,1.250852,0.348854
1.8,0.054751,1.250938,0.348459
1.808333,0.0531,1.250993,0.347991
1.816667,0.051473,1.250994,0.347688
1.825,0.049893,1.251043,0.347313
1.833333,0.048333,1.251061,0.347107
1.841667,0.046862,1.25114,0.346894
1.85,0.045407,1.251199,0.34674
1.858333,0.043989,1.251279,0.346684
1.866667,0.04265,1.251403,0.346613
1.875,0.041281,1.25155,0.346675
1.883333,0.040024,1.251693,0.346749
1.891667,0.038765,1.25185,0.34689
1.9,0.037575,1.252004,0.347021
1.908333,0.036451,1.252108,0.347149
1.916667,0.03533,1.252184,0.347383
1.925,0.034343,1.25225,0.347569
1.933333,0.033341,1.252313,0.347787
1.941667,0.032448,1.252353,0.348034
1.95,0.031651,1.252381,0.348282
1.958333,0.030872,1.252409,0.348588
1.966667,0.030184,1.252467,0.348862
1.975,0.029633,1.252525,0.349139
1.983333,0.02909,1.252599,0.349425
1.991667,0.028592,1.252682,0.349786
2.0,0.028212,1.252767,0.350125
2.008333,0.027877,1.252876,0.350432
2.016667,0.027597,1.252982,0.350729
2.025,0.027325,1.25307,0.351082
2.033333,0.02704,1.253176,0.351437
2.041667,0.026835,1.253231,0.351763
2.05,0.026651,1.253272,0.352053
2.058333,0.026496,1.253307,0.352307
2.066667,0.026408,1.25332,0.352578
2.075,0.026339,1.253321,0.352829
2.083333,0.026305,1.253321,0.353095
2.091667,0.026311,1.253303,0.353355
2.1,0.026343,1.253302,0.353612
2.108333,0.026402,1.253306,0.353846
2.116667,0.026466,1.253294,0.3541
2.125,0.026548,1.253286,0.354323
2.133333,0.026628,1.253284,0.354507
2.141667,0.026707,1.253279,0.3547
2.15,0.026756,1.253275,0.354881
2.158333,0.026827,1.253262,0.355054
2.166667,0.026874,1.253248,0.3552
2.175,0.026915,1.253225,0.355324
2.183333,0.026953,1.253204,0.355438
2.191667,0.026987,1.253185,0.355545
2.2,0.027028,1.253183,0.35564
2.208333,0.027039,1.253181,0.355736
2.216667,0.027062,1.253194,0.355829
2.225,0.027089,1.253209,0.355937
2.233333,0.027106,1.253217,0.356037
2.241667,0.027134,1.253247,0.356146
2.25,0.027156,1.253271,0.356211
2.258333,0.027182,1.253299,0.356279
2.266667,0.027196,1.253321,0.356332
2.275,0.027213,1.253351,0.356361
2.283333,0.027228,1.25337,0.356396
2.291667,0.02724,1.253379,0.356423
2.3,0.027236,1.253388,0.35644
2.308333,0.027238,1.253386,0.356462
2.316667,0.027245,1.25339,0.35648
2.325,0.027268,1.253394,0.356494
2.333333,0.027293,1.253397,0.356517
2.341667,0.027349,1.253385,0.356534
2.35,0.027412,1.25339,0.356521
2.358333,0.027498,1.253388,0.356532
2.366667,0.027597,1.253388,0.356525
2.375,0.027699,1.253388,0.356512
2.383333,0.027816,1.253387,0.356498
2.391667,0.027933,1.253389,0.356482
2.4,0.028064,1.253394,0.356469
2.408333,0.028208,1.253388,0.356429
2.416667,0.028362,1.253388,0.356406
2.425,0.028518,1.253379,0.356384
2.433333,0.028688,1.253363,0.356361
2.441667,0.028884,1.253348,0.35635
2.45,0.029078,1.253329,0.356355
2.458333,0.029273,1.253299,0.356355
2.466667,0.029465,1.25326,0.356331
2.475,0.02967,1.253194,0.356311
2.483333,0.029848,1.253122,0.356272
2.491667,0.030028,1.253035,0.35622
2.5,0.030219,1.252945,0.356149
2.508333,0.03043,1.252861,0.356047
2.516667,0.030644,1.252763,0.355928
2.525,0.030845,1.252666,0.355803
2.533333,0.031029,1.252586,0.355669
2.541667,0.031227,1.2525,0.355544
2.55,0.03141,1.252418,0.355413
2.558333,0.031597,1.252315,0.355298
2.566667,0.031749,1.252224,0.355149
2.575,0.031909,1.252149,0.354987
2.583333,0.032065,1.252064,0.354821
2.591667,0.032206,1.251988,0.354648
2.6,0.032342,1.25193,0.354459
2.608333,0.032489,1.251899,0.354256
2.616667,0.032623,1.251887,0.354046
2.625,0.032759,1.251886,0.353801
2.633333,0.032902,1.251885,0.353541
2.641667,0.033024,1.251889,0.353296
2.65,0.033127,1.251897,0.353043
2.658333,0.033217,1.251922,0.352813
2.666667,0.03331,1.251945,0.352585
2.675,0.033383,1.251946,0.352369
2.683333,0.033446,1.251934,0.35217
2.691667,0.033521,1.251878,0.351965
2.7,0.033584,1.251823,0.351765
2.708333,0.033641,1.251758,0.351573
2.716667,0.033695,1.251709,0.351414
2.725,0.033731,1.251658,0.351282
2.733333,0.033771,1.251612,0.351165
2.741667,0.033817,1.251574,0.351068
2.75,0.033889,1.25156,0.35098
2.758333,0.033973,1.251548,0.350946
2.766667,0.034088,1.251565,0.35095
2.775,0.034234,1.251593,0.350991
2.783333,0.034391,1.251632,0.35106
2.791667,0.034563,1.251683,0.351153
2.8,0.034743,1.251744,0.351291
2.808333,0.034882,1.251814,0.351416
2.816667,0.035017,1.251872,0.351561
2.825,0.035142,1.251927,0.351712
2.833333,0.035262,1.251954,0.351907
2.841667,0.035375,1.251982,0.352133
2.85,0.03547,1.251973,0.352364
2.858333,0.035563,1.251964,0.352589
2.866667,0.035663,1.251939,0.352846
2.875,0.035761,1.2519,0.353125
2.883333,0.035863,1.251857,0.353446
2.891667,0.035974,1.251806,0.353779
2.9,0.036093,1.251758,0.354131
2.908333,0.03622,1.251728,0.354537
2.916667,0.036348,1.251713,0.354967
2.925,0.036462,1.251684,0.355384
2.933333,0.036535,1.251668,0.355817
2.941667,0.036644,1.251654,0.356256
2.95,0.03675,1.25163,0.356716
2.958333,0.036853,1.251589,0.357158
2.966667,0.03694,1.251526,0.357623
2.975,0.037061,1.251444,0.358111
2.983333,0.037164,1.251373,0.35858
2.991667,0.037239,1.251276,0.359038
3.0,0.037311,1.251172,0.359531
3.008333,0.037359,1.251072,0.360021
3.016667,0.037422,1.250945,0.360552
3.025,0.037499,1.250856,0.36107
3.033333,0.037579,1.250763,0.361565
3.041667,0.037631,1.250685,0.362027
3.05,0.037707,1.250593,0.362504
3.058333,0.037779,1.250501,0.362989
3.066667,0.037853,1.250392,0.363475
3.075,0.037914,1.250317,0.363961
3.083333,0.037992,1.25022,0.364442
3.091667,0.038076,1.250124,0.364902
3.1,0.038162,1.250025,0.365347
3.108333,0.038242,1.249919,0.365772
3.116667,0.038346,1.24983,0.366177
3.125,0.038443,1.249731,0.366565
